Sun,1.989,30,1392700,0,0,0,0,252 255 173
Earth,5.9722,24,12742,0,-152083000,-29.29,0,30 91 247
Mercury,3.3,23,2440,0,-57909050,-46,0,181 148 127
Venus,4.867,24,6052,0,-108941000,-34.5,0,247 216 62
Mars,6.39,23,3396,0,-249228730,-21.97,0,247 70 30
Jupiter,1.898,27,69911,0,-817000000,-12.44,0,242 177 73
